route_id,direction_id,shape_id,service_id,trip_id
r1,1,shape_1-1,srv1111111,r1_trip_00_6
r1,1,shape_1-1,srv1111111,r1_trip_00_7
r1,1,shape_1-1,srv1111111,r1_trip_00_8
r1,1,shape_1-1,srv1111111,r1_trip_00_9
r20,1,shape_20-1,srv1111111,r20_trip_00_1
r20,1,shape_20-1,srv1111111,r20_trip_00_2
r20,1,shape_20-1,srv1111111,r20_trip_00_3
r20,1,shape_20-1,srv1111111,r20_trip_00_4
r20,1,shape_20-1,srv1111111,r20_trip_00_5
r20,1,shape_20-1,srv1111111,r20_trip_00_6
r20,1,shape_20-1,srv1111111,r20_trip_00_7
r20,1,shape_20-1,srv1111111,r20_trip_00_8
r20,1,shape_20-1,srv1111111,r20_trip_00_9
r21,1,shape_21-1,srv1111111,r21_trip_00_1
r21,1,shape_21-1,srv1111111,r21_trip_00_2
r21,1,shape_21-1,srv1111111,r21_trip_00_3
r21,1,shape_21-1,srv1111111,r21_trip_00_4
r21,1,shape_21-1,srv1111111,r21_trip_00_5
r21,1,shape_21-1,srv1111111,r21_trip_00_6
r21,1,shape_21-1,srv1111111,r21_trip_00_7
r21,1,shape_21-1,srv1111111,r21_trip_00_8
r21,1,shape_21-1,srv1111111,r21_trip_00_9
r22,1,shape_22-1,srv1111111,r22_trip_00_1
r22,1,shape_22-1,srv1111111,r22_trip_00_2
r22,1,shape_22-1,srv1111111,r22_trip_00_3
r22,1,shape_22-1,srv1111111,r22_trip_00_4
r22,1,shape_22-1,srv1111111,r22_trip_00_5
r22,1,shape_22-1,srv1111111,r22_trip_00_6
r22,1,shape_22-1,srv1111111,r22_trip_00_7
r22,1,shape_22-1,srv1111111,r22_trip_00_8
r22,1,shape_22-1,srv1111111,r22_trip_00_9
r23,1,shape_23-1,srv1111111,r23_trip_00_1
r23,1,shape_23-1,srv1111111,r23_trip_00_2
r23,1,shape_23-1,srv1111111,r23_trip_00_3
r23,1,shape_23-1,srv1111111,r23_trip_00_4
r23,1,shape_23-1,srv1111111,r23_trip_00_5
r23,1,shape_23-1,srv1111111,r23_trip_00_6
r23,1,shape_23-1,srv1111111,r23_trip_00_7
r23,1,shape_23-1,srv1111111,r23_trip_00_8
r23,1,shape_23-1,srv1111111,r23_trip_00_9
r24,1,shape_24-1,srv1111111,r24_trip_00_1
r24,1,shape_24-1,srv1111111,r24_trip_00_2
r24,1,shape_24-1,srv1111111,r24_trip_00_3
r24,1,shape_24-1,srv1111111,r24_trip_00_4
r24,1,shape_24-1,srv1111111,r24_trip_00_5
r24,1,shape_24-1,srv1111111,r24_trip_00_6
r24,1,shape_24-1,srv1111111,r24_trip_00_7
r24,1,shape_24-1,srv1111111,r24_trip_00_8
r24,1,shape_24-1,srv1111111,r24_trip_00_9
r25,1,shape_25-1,srv1111111,r25_trip_00_1
r25,1,shape_25-1,srv1111111,r25_trip_00_2
r25,1,shape_25-1,srv1111111,r25_trip_00_3
r25,1,shape_25-1,srv1111111,r25_trip_00_4
r25,1,shape_25-1,srv1111111,r25_trip_00_5
r25,1,shape_25-1,srv1111111,r25_trip_00_6
r25,1,shape_25-1,srv1111111,r25_trip_00_7
r25,1,shape_25-1,srv1111111,r25_trip_00_8
r25,1,shape_25-1,srv1111111,r25_trip_00_9
r26,1,shape_26-1,srv1111111,r26_trip_00_1
r26,1,shape_26-1,srv1111111,r26_trip_00_2
r26,1,shape_26-1,srv1111111,r26_trip_00_3
r26,1,shape_26-1,srv1111111,r26_trip_00_4
r26,1,shape_26-1,srv1111111,r26_trip_00_5
r26,1,shape_26-1,srv1111111,r26_trip_00_6
r26,1,shape_26-1,srv1111111,r26_trip_00_7
r26,1,shape_26-1,srv1111111,r26_trip_00_8
r26,1,shape_26-1,srv1111111,r26_trip_00_9
r27,1,shape_27-1,srv1111111,r27_trip_00_1
r27,1,shape_27-1,srv1111111,r27_trip_00_2
r27,1,shape_27-1,srv1111111,r27_trip_00_3
r27,1,shape_27-1,srv1111111,r27_trip_00_4
r27,1,shape_27-1,srv1111111,r27_trip_00_5
r27,1,shape_27-1,srv1111111,r27_trip_00_6
r27,1,shape_27-1,srv1111111,r27_trip_00_7
r27,1,shape_27-1,srv1111111,r27_trip_00_8
r27,1,shape_27-1,srv1111111,r27_trip_00_9
r28,1,shape_28-1,srv1111111,r28_trip_00_1
r28,1,shape_28-1,srv1111111,r28_trip_00_2
r28,1,shape_28-1,srv1111111,r28_trip_00_3
r28,1,shape_28-1,srv1111111,r28_trip_00_4
r28,1,shape_28-1,srv1111111,r28_trip_00_5
r28,1,shape_28-1,srv1111111,r28_trip_00_6
r28,1,shape_28-1,srv1111111,r28_trip_00_7
r28,1,shape_28-1,srv1111111,r28_trip_00_8
r28,1,shape_28-1,srv1111111,r28_trip_00_9
r29,1,shape_29-1,srv1111111,r29_trip_00_1
r29,1,shape_29-1,srv1111111,r29_trip_00_2
r29,1,shape_29-1,srv1111111,r29_trip_00_3
r29,1,shape_29-1,srv1111111,r29_trip_00_4
r29,1,shape_29-1,srv1111111,r29_trip_00_5
r29,1,shape_29-1,srv1111111,r29_trip_00_6
r29,1,shape_29-1,srv1111111,r29_trip_00_7
r29,1,shape_29-1,srv1111111,r29_trip_00_8
r29,1,shape_29-1,srv1111111,r29_trip_00_9
r2,1,shape_2-1,srv1111111,r2_trip_00_1
r2,1,shape_2-1,srv1111111,r2_trip_00_2
r2,1,shape_2-1,srv1111111,r2_trip_00_3
r2,1,shape_2-1,srv1111111,r2_trip_00_4
r2,1,shape_2-1,srv1111111,r2_trip_00_5
r2,1,shape_2-1,srv1111111,r2_trip_00_6
r2,1,shape_2-1,srv1111111,r2_trip_00_7
r2,1,shape_2-1,srv1111111,r2_trip_00_8
r2,1,shape_2-1,srv1111111,r2_trip_00_9
r30,1,shape_30-1,srv1111111,r30_trip_00_1
r30,1,shape_30-1,srv1111111,r30_trip_00_2
r30,1,shape_30-1,srv1111111,r30_trip_00_3
r30,1,shape_30-1,srv1111111,r30_trip_00_4
r30,1,shape_30-1,srv1111111,r30_trip_00_5
r30,1,shape_30-1,srv1111111,r30_trip_00_6
r30,1,shape_30-1,srv1111111,r30_trip_00_7
r30,1,shape_30-1,srv1111111,r30_trip_00_8
r30,1,shape_30-1,srv1111111,r30_trip_00_9
r31,1,shape_31-1,srv1111111,r31_trip_00_1
r31,1,shape_31-1,srv1111111,r31_trip_00_2
r31,1,shape_31-1,srv1111111,r31_trip_00_3
r31,1,shape_31-1,srv1111111,r31_trip_00_4
r31,1,shape_31-1,srv1111111,r31_trip_00_5
r31,1,shape_31-1,srv1111111,r31_trip_00_6
r31,1,shape_31-1,srv1111111,r31_trip_00_7
r31,1,shape_31-1,srv1111111,r31_trip_00_8
r31,1,shape_31-1,srv1111111,r31_trip_00_9
r32,1,shape_32-1,srv1111111,r32_trip_00_1
r32,1,shape_32-1,srv1111111,r32_trip_00_2
r32,1,shape_32-1,srv1111111,r32_trip_00_3
r32,1,shape_32-1,srv1111111,r32_trip_00_4
